,0
2018-01-01,4.884677435169167
2018-01-02,6.349608228713115
2018-01-03,4.637095369878727
2018-01-04,3.19823682674091
2018-01-05,2.9350144946230667
2018-01-08,1.8370386996423607
2018-01-09,2.37641252758563
2018-01-10,2.626530715610205
2018-01-11,2.38596184356698
2018-01-12,2.2560874630957035
2018-01-15,2.1501715834257453
2018-01-16,2.114832946798059
2018-01-17,2.009902326760981
2018-01-18,1.999227169268149
2018-01-19,1.824744543674936
2018-01-22,1.5844804770237693
2018-01-23,1.296381148852925
2018-01-24,1.170830490521027
2018-01-25,1.0319565657760938
2018-01-26,0.9807677834050423
2018-01-29,0.992449455477201
2018-01-30,0.7441290760047149
2018-01-31,0.6901273124183624
2018-02-01,0.6962690574224643
2018-02-02,0.41717929550130156
2018-02-05,0.30956652001378093
2018-02-06,0.44604731310672785
2018-02-07,0.4125840484658015
2018-02-08,0.5220722733511785
2018-02-09,0.7356002730042067
2018-02-12,0.6024979579494346
2018-02-13,0.36721125836576685
2018-02-14,0.4976708297302382
2018-02-15,0.31812025110658676
2018-02-16,0.348801870808515
2018-02-19,0.335638055804713
2018-02-20,0.2408397357569111
2018-02-21,0.27019090661348794
2018-02-22,0.2785997221324576
2018-02-23,0.4207823961706458
2018-02-26,0.675211823037618
2018-02-27,0.2521428427672367
2018-02-28,0.22348793193015773
2018-03-01,0.283859036248086
2018-03-02,0.2744528589007276
2018-03-05,0.2552440837115287
2018-03-06,0.21530074260939938
2018-03-07,0.2734310762178893
2018-03-08,0.14659214382672173
2018-03-09,0.20220605685308743
2018-03-12,0.0814420205812987
2018-03-13,0.20415701571878422
2018-03-14,0.11999707741065245
2018-03-15,0.16011981877109607
2018-03-16,0.6116460006581573
2018-03-19,0.6808494384422336
2018-03-20,0.6689997607841566
2018-03-21,0.6798277779163701
2018-03-22,0.6270428060369294
2018-03-23,0.6484440457552384
2018-03-26,0.6973582109837431
2018-03-27,0.7542615891984497
2018-03-28,0.6763718523540079
2018-03-29,0.7873785788390522
2018-03-30,0.8934781018362566
2018-04-02,0.8716982544789457
2018-04-03,0.763393718899394
2018-04-04,1.1703518527404797
2018-04-05,1.1817996752176223
2018-04-06,1.101125551586962
2018-04-09,1.7669108325038407
2018-04-10,1.5542297757601526
2018-04-11,1.1082911630763421
2018-04-12,1.0217563036903992
2018-04-13,0.9259140406266769
2018-04-16,1.1703795908281955
2018-04-17,0.9979443388152253
2018-04-18,1.0001380631630161
2018-04-19,0.8567005281494137
2018-04-20,1.0700630235838275
2018-04-23,0.8798277146242438
2018-04-24,0.8356916773875285
2018-04-25,0.9349326936399972
2018-04-26,0.7837970529642991
2018-04-27,0.8108271510327385
2018-04-30,0.8719793246831606
2018-05-01,0.7863763266072901
2018-05-02,0.8104714937600167
2018-05-03,0.9954910358756398
2018-05-04,1.202855871731909
2018-05-07,0.7472213665879198
2018-05-08,0.7801656739261347
2018-05-09,1.0788154927051232
2018-05-10,0.9541511149170557
2018-05-11,1.0987067859839705
2018-05-14,0.904447971961137
2018-05-15,0.7551012229490884
2018-05-16,0.7800288758564022
2018-05-17,0.8334043418537582
2018-05-18,0.8190596322442073
2018-05-21,0.8146968166895334
2018-05-22,0.8468215254694358
2018-05-23,0.9203055830994525
2018-05-24,1.058964275154789
2018-05-25,1.0095485299765634
2018-05-28,0.9695026103091816
2018-05-29,0.9508687344870466
2018-05-30,0.8884415750332292
2018-05-31,0.7756411516754415
2018-06-01,0.8677788147903246
2018-06-04,0.6326122757844285
2018-06-05,0.8039808500734825
2018-06-06,0.7796382490962217
2018-06-07,0.6434937846593517
2018-06-08,0.9290630603908157
2018-06-11,0.8742486030517514
2018-06-12,0.8819264672740611
2018-06-13,1.0237726818527257
2018-06-14,0.5883204994670386
2018-06-15,0.8155105006492029
2018-06-18,0.8570196851796911
2018-06-19,1.168194600719594
2018-06-20,1.0041699945172113
2018-06-21,0.6773117075650803
2018-06-22,1.025091440664609
2018-06-25,0.9832343929912497
2018-06-26,0.8047255687851783
2018-06-27,0.7319582632436628
2018-06-28,0.378345268707459
2018-06-29,0.6723418914428291
2018-07-02,0.572343601452533
2018-07-03,0.6072088916594783
2018-07-04,0.564229484964886
2018-07-05,0.8094627170391042
2018-07-06,0.5770297466620142
2018-07-09,0.7895290681999593
2018-07-10,0.8230604438830098
2018-07-11,0.5297450095736942
2018-07-12,0.44313190491792975
2018-07-13,0.6001171597421456
2018-07-16,0.4390997250684514
2018-07-17,0.23417680144167588
2018-07-18,0.4073426435187638
2018-07-19,0.5591118319378926
2018-07-20,0.2231216141031134
2018-07-23,0.12645776045936363
2018-07-24,0.16050034791492543
2018-07-25,0.25680180383073614
2018-07-26,0.22698013743305978
2018-07-27,0.3289099370775055
2018-07-30,0.31940676223602016
2018-07-31,0.3487810222984432
2018-08-01,0.3270050108315946
2018-08-02,0.5244055085999807
2018-08-03,0.28213431303986297
2018-08-06,0.3181774299221871
2018-08-07,0.45364998025206016
2018-08-08,1.1061519548781769
2018-08-09,1.296730900424096
2018-08-10,1.225066689079849
2018-08-13,1.3087240267334683
2018-08-14,0.24964826432257456
2018-08-15,0.21792762991723888
2018-08-16,0.22193115254617624
2018-08-17,0.24879914423345764
2018-08-20,0.28255975702418434
2018-08-21,0.27029505650908964
2018-08-22,0.2494479913446125
2018-08-23,0.2606381009385359
2018-08-24,0.26655064946161194
2018-08-27,0.2428886036634039
2018-08-28,0.3179153092005965
2018-08-29,0.2737225016119515
2018-08-30,0.28793849157969864
2018-08-31,0.19897053609623133
2018-09-03,0.2414887250849644
2018-09-04,0.5468874755962361
2018-09-05,0.4730675214306721
2018-09-06,0.34859529259714284
2018-09-07,0.30311764077977055
2018-09-10,0.8431120694267132
